country,region,source,segment,type,abatement,savings (kt),cost (USD/GJ)
India,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,4.34,-0.52
Indonesia,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,38.31,-0.52
China,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,74.41,-0.44
Canada,North America,Drainage systems,Underground,Met,CMM utilisation,5.43,-0.22
United States,North America,Other losses,Underground,Met,Capture and route to abatement system,1.81,-0.07
New Zealand,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,2.28,-0.06
Mexico,North America,Drainage systems,Underground,Thermal,CMM utilisation,1.58,0
India,Asia Pacific,Drainage systems,Surface,Met,CMM utilisation,1.81,0.36
Colombia,Central and South America,Drainage systems,Surface,Thermal,CMM utilisation,5.14,0.43
Indonesia,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,4.26,0.55
Colombia,Central and South America,Other losses,Surface,Thermal,Enhance combustion efficiency,2.16,0.76
Poland,Europe,Other losses,Underground,Met,Enhance combustion efficiency,3.59,0.79
Other countries in Europe,Europe,Drainage systems,Underground,Thermal,CMM utilisation,1.92,0.8
Viet Nam,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,6.93,0.8
Viet Nam,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,0.87,0.8
Other countries in Southeast Asia,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,2.11,0.87
Indonesia,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,67.41,0.92
United States,North America,Other losses,Underground,Thermal,Enhance combustion efficiency,10.12,0.98
Viet Nam,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,4.31,1.03
Poland,Europe,Other losses,Underground,Thermal,Enhance combustion efficiency,3.85,1.16
Australia,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,52.2,1.27
China,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,6.27,1.33
Kazakhstan,Russia & Caspian,Other losses,Surface,Thermal,Enhance combustion efficiency,4.34,1.33
Kazakhstan,Russia & Caspian,Other losses,Surface,Thermal,Capture and route to abatement system,46.84,1.41
Mongolia,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,2.11,1.47
Other countries not included in regions,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,7.62,1.52
Russia,Russia & Caspian,Other losses,Underground,Met,Enhance combustion efficiency,13.78,1.56
Russia,Russia & Caspian,Other losses,Underground,Thermal,Enhance combustion efficiency,11.33,1.6
United States,North America,Other losses,Underground,Thermal,Capture and route to abatement system,23.91,1.67
Viet Nam,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,1.11,1.67
Other countries not included in regions,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,3.63,1.68
China,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,7.4,1.69
Iran,Middle East,Other losses,Underground,Met,Enhance combustion efficiency,0.21,1.72
Australia,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,85.56,1.73
India,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,6.15,1.83
India,Asia Pacific,Other losses,Underground,Met,Enhance combustion efficiency,1.47,1.9
Poland,Europe,Other losses,Underground,Met,Capture and route to abatement system,1.09,1.93
Indonesia,Asia Pacific,Drainage systems,Underground,Thermal,Flare,6.32,1.96
India,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,22.1,2.01
Kazakhstan,Russia & Caspian,Other losses,Underground,Met,Enhance combustion efficiency,1.49,2.06
South Africa,Africa,Drainage systems,Underground,Thermal,CMM utilisation,135.8,2.08
China,Asia Pacific,Other losses,Underground,Met,Enhance combustion efficiency,70.42,2.13
China,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,164.58,2.17
Indonesia,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,10.62,2.19
Mexico,North America,Other losses,Underground,Thermal,Enhance combustion efficiency,0.33,2.39
South Africa,Africa,Other losses,Underground,Thermal,Enhance combustion efficiency,8.76,2.4
Poland,Europe,Drainage systems,Underground,Met,Flare,4.99,2.45
Colombia,Central and South America,Drainage systems,Surface,Thermal,Flare,4.1,2.5
Ukraine,Europe,Other losses,Underground,Thermal,Enhance combustion efficiency,4.8,2.56
Poland,Europe,Drainage systems,Underground,Thermal,Flare,4.53,2.7
Colombia,Central and South America,Other losses,Underground,Met,Enhance combustion efficiency,0.3,2.71
China,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,19.9,2.71
Other EU17 countries,Europe,Drainage systems,Surface,Thermal,CMM utilisation,2.51,2.96
Poland,Europe,Ventilation systems,Underground,Met,On-site recovery and use,120.78,3
Poland,Europe,Ventilation systems,Underground,Thermal,On-site recovery and use,96.51,3
United States,North America,Drainage systems,Underground,Thermal,Flare,13.95,3.04
Other countries in Southeast Asia,Asia Pacific,Drainage systems,Underground,Thermal,Flare,2.99,3.08
Indonesia,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,2.74,3.14
Mexico,North America,Other losses,Underground,Thermal,Capture and route to abatement system,0.58,3.15
China,Asia Pacific,Ventilation systems,Underground,Met,On-site recovery and use,830.38,3.15
China,Asia Pacific,Ventilation systems,Underground,Thermal,On-site recovery and use,303.91,3.15
Viet Nam,Asia Pacific,Drainage systems,Underground,Thermal,Flare,5.11,3.18
Poland,Europe,Other losses,Underground,Thermal,Capture and route to abatement system,2.92,3.19
Australia,Asia Pacific,Other losses,Underground,Met,Enhance combustion efficiency,5.4,3.22
United States,North America,Other losses,Surface,Thermal,Enhance combustion efficiency,2.43,3.23
China,Asia Pacific,Other losses,Underground,Met,Capture and route to abatement system,105.3,3.35
Viet Nam,Asia Pacific,Drainage systems,Surface,Thermal,Flare,1.38,3.36
Other EU7 countries,Europe,Drainage systems,Surface,Thermal,CMM utilisation,0.62,3.41
Mozambique,Africa,Other losses,Surface,Met,Enhance combustion efficiency,0.31,3.59
Other countries not included in regions,Asia Pacific,Ventilation systems,Underground,Thermal,On-site recovery and use,214.59,3.68
Kazakhstan,Russia & Caspian,Drainage systems,Surface,Thermal,Flare,7.69,3.69
Iran,Middle East,Other losses,Underground,Met,Capture and route to abatement system,0.53,3.77
Other countries in Southeast Asia,Asia Pacific,Ventilation systems,Underground,Thermal,On-site recovery and use,74.93,3.85
Viet Nam,Asia Pacific,Ventilation systems,Underground,Thermal,On-site recovery and use,117.98,3.88
South Africa,Africa,Other losses,Surface,Thermal,Capture and route to abatement system,28.4,3.93
Ukraine,Europe,Ventilation systems,Underground,Thermal,On-site recovery and use,136.55,3.94
Russia,Russia & Caspian,Other losses,Underground,Met,Capture and route to abatement system,28.68,4.04
Germany,Europe,Drainage systems,Surface,Thermal,CMM utilisation,0.48,4.09
Mongolia,Asia Pacific,Drainage systems,Surface,Met,Flare,3.51,4.15
China,Asia Pacific,Drainage systems,Surface,Met,CMM utilisation,0.79,4.24
United States,North America,Drainage systems,Underground,Thermal,CMM utilisation,128.69,4.24
Colombia,Central and South America,Drainage systems,Underground,Thermal,CMM utilisation,0.56,4.31
Iran,Middle East,Ventilation systems,Underground,Met,On-site recovery and use,7.56,4.38
United States,North America,Drainage systems,Underground,Met,CMM utilisation,28.65,4.43
Viet Nam,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,13.8,4.44
Poland,Europe,Other losses,Surface,Thermal,Enhance combustion efficiency,0.36,4.44
China,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,6.61,4.57
Poland,Europe,Drainage systems,Underground,Thermal,CMM utilisation,0.48,4.64
India,Asia Pacific,Drainage systems,Underground,Met,Flare,1.5,4.69
China,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,80.77,4.7
Russia,Russia & Caspian,Other losses,Underground,Thermal,Capture and route to abatement system,25.77,4.71
Other countries in Southeast Asia,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,3.74,4.72
Other countries not included in regions,Asia Pacific,Drainage systems,Underground,Thermal,Flare,9.25,4.82
United States,North America,Ventilation systems,Underground,Met,On-site recovery and use,93.87,5
Australia,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,3.39,5
United States,North America,Other losses,Surface,Thermal,Capture and route to abatement system,27.03,5.01
Mongolia,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,0.6,5.11
Mozambique,Africa,Drainage systems,Surface,Thermal,CMM utilisation,5.58,5.22
Poland,Europe,Other losses,Underground,Met,Enhance combustion efficiency,0.08,5.27
Colombia,Central and South America,Drainage systems,Underground,Met,Flare,0.48,5.31
Other EU17 countries,Europe,Other losses,Underground,Thermal,Enhance combustion efficiency,0.15,5.36
Russia,Russia & Caspian,Drainage systems,Underground,Met,Flare,14.38,5.36
China,Asia Pacific,Drainage systems,Underground,Met,Flare,42.87,5.42
India,Asia Pacific,Ventilation systems,Underground,Met,VAM oxidation,41.65,5.46
Kazakhstan,Russia & Caspian,Other losses,Underground,Met,Capture and route to abatement system,0.56,5.53
India,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,82.2,5.58
South Africa,Africa,Other losses,Surface,Thermal,Enhance combustion efficiency,2.26,5.71
Mongolia,Asia Pacific,Drainage systems,Surface,Met,CMM utilisation,40.43,5.82
Australia,Asia Pacific,Other losses,Underground,Met,Enhance combustion efficiency,0.14,5.86
India,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,0.1,5.87
Indonesia,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,0.2,5.9
Indonesia,Asia Pacific,Drainage systems,Underground,Thermal,Flare,0.42,5.95
Other countries not included in regions,Asia Pacific,Ventilation systems,Underground,Met,VAM oxidation,4.88,5.95
South Africa,Africa,Ventilation systems,Underground,Thermal,VAM oxidation,310.54,5.99
Indonesia,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,0.13,6.01
China,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,5,6.03
Viet Nam,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,34.96,6.05
Mozambique,Africa,Drainage systems,Surface,Met,CMM utilisation,6.67,6.09
United States,North America,Drainage systems,Underground,Met,Flare,2.05,6.1
Russia,Russia & Caspian,Drainage systems,Underground,Thermal,Flare,14.37,6.1
New Zealand,Asia Pacific,Drainage systems,Surface,Met,Flare,0.4,6.1
Australia,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,1.68,6.15
Other countries in Southeast Asia,Asia Pacific,Drainage systems,Surface,Thermal,Flare,0.37,6.17
India,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,0.5,6.2
China,Asia Pacific,Ventilation systems,Underground,Met,VAM oxidation,967.43,6.22
Other EU17 countries,Europe,Other losses,Underground,Thermal,Enhance combustion efficiency,0.06,6.22
Russia,Russia & Caspian,Other losses,Underground,Met,Enhance combustion efficiency,0.09,6.27
Other countries in Europe,Europe,Other losses,Surface,Thermal,Enhance combustion efficiency,0.12,6.3
Russia,Russia & Caspian,Other losses,Surface,Met,Capture and route to abatement system,14.67,6.31
Kazakhstan,Russia & Caspian,Drainage systems,Underground,Met,CMM utilisation,23.65,6.32
Canada,North America,Other losses,Surface,Met,Enhance combustion efficiency,0.13,6.35
China,Asia Pacific,Ventilation systems,Underground,Met,VAM oxidation,711.86,6.37
Indonesia,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,151,6.4
Russia,Russia & Caspian,Other losses,Surface,Thermal,Capture and route to abatement system,54.94,6.44
Russia,Russia & Caspian,Drainage systems,Underground,Thermal,Flare,3.26,6.45
United States,North America,Drainage systems,Underground,Thermal,CMM utilisation,32.15,6.45
Russia,Russia & Caspian,Drainage systems,Underground,Met,Flare,6.49,6.48
Indonesia,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,7.76,6.48
United States,North America,Drainage systems,Underground,Thermal,Flare,1.54,6.49
China,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,1041.66,6.51
Other countries not included in regions,Asia Pacific,Drainage systems,Underground,Thermal,Flare,1.44,6.52
Australia,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,0.25,6.53
India,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,11.16,6.53
Canada,North America,Ventilation systems,Underground,Met,VAM oxidation,12.15,6.54
Australia,Asia Pacific,Ventilation systems,Underground,Met,VAM oxidation,194.49,6.55
China,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,0.94,6.58
Other countries in Southeast Asia,Asia Pacific,Drainage systems,Underground,Thermal,Flare,0.35,6.58
South Africa,Africa,Drainage systems,Surface,Thermal,Flare,1.4,6.59
Ukraine,Europe,Ventilation systems,Underground,Thermal,VAM oxidation,33.66,6.6
China,Asia Pacific,Other losses,Underground,Met,Enhance combustion efficiency,3.5,6.61
Australia,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,122.93,6.62
China,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,208.88,6.64
Other EU17 countries,Europe,Other losses,Surface,Thermal,Enhance combustion efficiency,0.18,6.65
Other countries not included in regions,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,55.02,6.67
Ukraine,Europe,Other losses,Underground,Thermal,Capture and route to abatement system,8.42,6.67
Russia,Russia & Caspian,Other losses,Underground,Thermal,Enhance combustion efficiency,0.26,6.67
Russia,Russia & Caspian,Drainage systems,Surface,Thermal,Flare,3.15,6.67
South Africa,Africa,Drainage systems,Underground,Thermal,Flare,2.07,6.68
Australia,Asia Pacific,Drainage systems,Underground,Thermal,Flare,1.49,6.69
India,Asia Pacific,Drainage systems,Surface,Thermal,Flare,4.97,6.69
Kazakhstan,Russia & Caspian,Drainage systems,Underground,Met,Flare,0.35,6.69
Mexico,North America,Drainage systems,Underground,Thermal,Flare,0.37,6.69
China,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,4534.05,6.7
Mongolia,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,0.12,6.72
Mexico,North America,Ventilation systems,Underground,Thermal,VAM oxidation,11.79,6.73
China,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,7.87,6.73
Viet Nam,Asia Pacific,Drainage systems,Underground,Thermal,Flare,1.71,6.76
Other EU17 countries,Europe,Ventilation systems,Underground,Thermal,VAM oxidation,5.31,6.77
Other countries not included in regions,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,0.22,6.78
Iran,Middle East,Drainage systems,Underground,Met,Flare,0.34,6.79
South Africa,Africa,Other losses,Surface,Thermal,Enhance combustion efficiency,0.49,6.81
Colombia,Central and South America,Ventilation systems,Underground,Met,VAM oxidation,10.78,6.82
Australia,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,0.3,6.83
Ukraine,Europe,Drainage systems,Underground,Thermal,Flare,2.47,6.83
Poland,Europe,Ventilation systems,Underground,Met,VAM oxidation,6.53,6.83
Australia,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,17.83,6.86
Australia,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,0.42,6.87
Australia,Asia Pacific,Drainage systems,Surface,Thermal,Flare,2.53,6.88
Australia,Asia Pacific,Drainage systems,Underground,Met,Flare,2.53,6.89
China,Asia Pacific,Drainage systems,Surface,Thermal,Flare,3.9,6.89
Kazakhstan,Russia & Caspian,Other losses,Underground,Met,Capture and route to abatement system,3.17,6.91
Russia,Russia & Caspian,Other losses,Surface,Met,Enhance combustion efficiency,0.33,6.94
India,Asia Pacific,Ventilation systems,Underground,Met,VAM oxidation,10.49,6.95
Poland,Europe,Ventilation systems,Underground,Thermal,VAM oxidation,40,6.98
South Africa,Africa,Other losses,Underground,Thermal,Capture and route to abatement system,18.83,6.99
United States,North America,Ventilation systems,Underground,Thermal,VAM oxidation,358.95,7.02
Poland,Europe,Drainage systems,Underground,Met,Flare,0.69,7.04
Poland,Europe,Drainage systems,Surface,Thermal,Flare,0.69,7.06
India,Asia Pacific,Other losses,Underground,Met,Capture and route to abatement system,0.76,7.06
Other countries in Europe,Europe,Other losses,Underground,Thermal,Enhance combustion efficiency,0.06,7.09
United States,North America,Other losses,Underground,Met,Enhance combustion efficiency,0.87,7.09
India,Asia Pacific,Other losses,Underground,Met,Enhance combustion efficiency,0.04,7.1
Other countries in Europe,Europe,Ventilation systems,Underground,Thermal,VAM oxidation,11.35,7.12
India,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,6.62,7.13
India,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,1.14,7.13
United States,North America,Other losses,Surface,Met,Enhance combustion efficiency,0.06,7.19
Viet Nam,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,7.48,7.2
India,Asia Pacific,Drainage systems,Underground,Thermal,Flare,0.97,7.2
China,Asia Pacific,Drainage systems,Underground,Thermal,Flare,67.15,7.21
Indonesia,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,0.05,7.22
India,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,0.5,7.23
Mongolia,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,0.92,7.35
China,Asia Pacific,Drainage systems,Underground,Met,Flare,36.25,7.37
Germany,Europe,Other losses,Surface,Thermal,Enhance combustion efficiency,0.05,7.4
Korea,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,0.05,7.45
India,Asia Pacific,Drainage systems,Surface,Met,Flare,0.94,7.45
United States,North America,Ventilation systems,Underground,Met,VAM oxidation,64.57,7.45
South Africa,Africa,Other losses,Underground,Thermal,Enhance combustion efficiency,0.3,7.48
Mongolia,Asia Pacific,Drainage systems,Surface,Met,Flare,0.32,7.52
China,Asia Pacific,Drainage systems,Underground,Thermal,Flare,147.38,7.52
Mozambique,Africa,Other losses,Surface,Thermal,Enhance combustion efficiency,0.29,7.59
Poland,Europe,Drainage systems,Underground,Thermal,Flare,0.96,7.63
Indonesia,Asia Pacific,Drainage systems,Surface,Thermal,Flare,1.93,7.7
Russia,Russia & Caspian,Other losses,Surface,Thermal,Enhance combustion efficiency,0.66,7.73
Russia,Russia & Caspian,Other losses,Surface,Met,Enhance combustion efficiency,1.16,7.84
Indonesia,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,2.07,7.91
United States,North America,Drainage systems,Surface,Thermal,Flare,1.26,7.92
Kazakhstan,Russia & Caspian,Other losses,Surface,Thermal,Enhance combustion efficiency,0.1,7.97
Indonesia,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,1.13,7.99
United States,North America,Other losses,Surface,Thermal,Enhance combustion efficiency,0.21,8
Russia,Russia & Caspian,Other losses,Surface,Thermal,Enhance combustion efficiency,5.07,8.05
Ukraine,Europe,Drainage systems,Underground,Thermal,CMM utilisation,81.36,8.09
China,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,4.59,8.12
Ukraine,Europe,Other losses,Underground,Thermal,Enhance combustion efficiency,0.24,8.13
Viet Nam,Asia Pacific,Drainage systems,Surface,Thermal,Flare,0.57,8.18
United States,North America,Other losses,Underground,Met,Enhance combustion efficiency,4.39,8.2
Other countries not included in regions,Asia Pacific,Other losses,Underground,Met,Enhance combustion efficiency,0.14,8.2
Kazakhstan,Russia & Caspian,Drainage systems,Underground,Met,Flare,2.01,8.23
Mongolia,Asia Pacific,Drainage systems,Surface,Thermal,Flare,0.59,8.31
Australia,Asia Pacific,Drainage systems,Surface,Met,Flare,2.36,8.43
Other countries in Europe,Europe,Drainage systems,Underground,Thermal,Flare,0.32,8.51
India,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,5.51,8.54
Other countries not included in regions,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,0.13,8.58
Russia,Russia & Caspian,Drainage systems,Surface,Met,Flare,0.41,8.64
Mongolia,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,15.55,8.81
Australia,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,5.48,8.82
Australia,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,18.3,8.93
Russia,Russia & Caspian,Other losses,Underground,Met,Capture and route to abatement system,6.03,8.93
India,Asia Pacific,Drainage systems,Underground,Met,Flare,0.19,8.99
Mozambique,Africa,Other losses,Surface,Met,Enhance combustion efficiency,0.04,9.14
Iran,Middle East,Drainage systems,Underground,Met,CMM utilisation,3.38,9.15
Australia,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,2.02,9.21
Kazakhstan,Russia & Caspian,Other losses,Surface,Thermal,Capture and route to abatement system,1.38,9.22
Indonesia,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,52.66,9.27
India,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,2.04,9.29
New Zealand,Asia Pacific,Other losses,Surface,Met,Enhance combustion efficiency,0.21,9.52
United Kingdom,Europe,Ventilation systems,Underground,Met,VAM oxidation,3.1,9.58
Australia,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,6.25,9.7
South Africa,Africa,Drainage systems,Underground,Thermal,Flare,10.45,9.73
South Africa,Africa,Drainage systems,Underground,Thermal,CMM utilisation,8.98,9.74
Other countries not included in regions,Asia Pacific,Drainage systems,Surface,Thermal,Flare,0.25,9.81
New Zealand,Asia Pacific,Other losses,Surface,Thermal,Enhance combustion efficiency,0.04,9.89
Poland,Europe,Ventilation systems,Underground,Met,VAM oxidation,2.72,10.01
Mongolia,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,0.25,10.01
Ukraine,Europe,Drainage systems,Underground,Thermal,Flare,4.16,10.4
Russia,Russia & Caspian,Other losses,Underground,Met,Enhance combustion efficiency,0.05,10.41
Other countries not included in regions,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,0.88,10.41
China,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,150.24,10.42
United States,North America,Drainage systems,Surface,Thermal,Flare,2.34,10.67
Russia,Russia & Caspian,Other losses,Surface,Met,Capture and route to abatement system,7.23,10.69
Indonesia,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,4.64,11.02
United States,North America,Other losses,Underground,Thermal,Enhance combustion efficiency,0.04,11.05
India,Asia Pacific,Other losses,Underground,Thermal,Enhance combustion efficiency,1.71,11.11
Australia,Asia Pacific,Other losses,Underground,Met,Capture and route to abatement system,11.11,11.24
China,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,14.95,11.31
Australia,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,11.99,11.65
United States,North America,Other losses,Underground,Thermal,Capture and route to abatement system,1.42,11.74
Colombia,Central and South America,Other losses,Underground,Thermal,Enhance combustion efficiency,0.04,11.75
Poland,Europe,Other losses,Underground,Thermal,Capture and route to abatement system,0.65,11.78
Mozambique,Africa,Drainage systems,Surface,Met,Flare,0.59,11.83
Canada,North America,Other losses,Underground,Met,Enhance combustion efficiency,0.34,11.96
Other countries in Southeast Asia,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,2.13,11.96
Korea,Asia Pacific,Drainage systems,Underground,Thermal,CMM utilisation,1.66,12.03
Australia,Asia Pacific,Other losses,Underground,Thermal,Capture and route to abatement system,2.15,12.06
China,Asia Pacific,Other losses,Underground,Met,Capture and route to abatement system,76.42,12.35
Australia,Asia Pacific,Ventilation systems,Underground,Thermal,VAM oxidation,6.27,12.45
Kazakhstan,Russia & Caspian,Ventilation systems,Underground,Met,On-site recovery and use,52.98,12.6
Australia,Asia Pacific,Other losses,Underground,Met,Capture and route to abatement system,2.84,12.62
India,Asia Pacific,Drainage systems,Surface,Thermal,CMM utilisation,14.94,12.75
South Africa,Africa,Drainage systems,Surface,Thermal,CMM utilisation,55.78,12.94
New Zealand,Asia Pacific,Other losses,Surface,Thermal,Capture and route to abatement system,1.44,13.09
Other countries not included in regions,Asia Pacific,Other losses,Surface,Met,Capture and route to abatement system,0.19,13.1
Australia,Asia Pacific,Drainage systems,Underground,Met,CMM utilisation,2.95,13.24
South Africa,Africa,Other losses,Surface,Thermal,Capture and route to abatement system,3.44,13.29
South Africa,Africa,Drainage systems,Surface,Met,CMM utilisation,1.71,13.41
Other EU17 countries,Europe,Other losses,Surface,Thermal,Capture and route to abatement system,0.75,13.42
