country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
Italy,Europe,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-6.89
Ukraine,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.06,-6.88
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.09,-6.88
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.08,-6.88
Other EU17 countries,Europe,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.03,-6.86
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,0.47,-6.86
Other EU17 countries,Europe,Unconventional gas,Upstream,Gas,Replace pumps,0.06,-6.86
Italy,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,0.02,-6.86
China,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,14.95,-6.86
China,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,1.1,-6.86
China,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,0.3,-6.86
India,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,1.4,-6.84
India,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,1.42,-6.84
Other EU7 countries,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.08,-6.84
Romania,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,2.92,-6.82
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,0.22,-6.82
Estonia,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,0.58,-6.81
Poland,Europe,Unconventional gas,Upstream,Gas,Biannual LDAR,0.06,-6.8
Poland,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.18,-6.8
Poland,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.03,-6.8
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,1.31,-6.8
South Africa,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.98,-6.79
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,20.83,-6.79
Germany,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,0.24,-6.79
Germany,Europe,Unconventional gas,Upstream,Gas,Replace pumps,0.05,-6.79
France,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,0.53,-6.78
Poland,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.06,-6.78
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Replace pumps,0.04,-6.78
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.53,-6.77
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,2.94,-6.77
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.02,-6.77
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.89,-6.77
Ukraine,Europe,Satellite - downstream,Downstream,Oil,Daily LDAR,20.48,-6.76
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.05,-6.74
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.47,-6.7
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.52,-6.7
China,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,52.55,-6.68
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,29.09,-6.68
China,Asia Pacific,Unconventional gas,Upstream,Gas,Quarterly LDAR,63.71,-6.68
Estonia,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.04,-6.66
India,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,14.72,-6.66
India,Asia Pacific,Unconventional gas,Upstream,Gas,Quarterly LDAR,4.37,-6.66
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,7.53,-6.66
Italy,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.03,-6.64
Italy,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.01,-6.64
Romania,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,8.04,-6.64
Other EU17 countries,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.09,-6.62
Other EU17 countries,Europe,Unconventional gas,Upstream,Gas,Annual LDAR,0.02,-6.62
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.11,-6.62
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-6.61
Brazil,Central and South America,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.25,-6.61
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.17,-6.61
Other EU7 countries,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.01,-6.59
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Continuous LDAR,2.98,-6.58
Brazil,Central and South America,Onshore conventional oil,Upstream,Oil,Continuous LDAR,4.43,-6.58
Pakistan,Asia Pacific,Satellite - upstream,Upstream,Gas,Daily LDAR,3.2,-6.57
Romania,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.18,-6.56
Romania,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.48,-6.56
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,2.75,-6.5
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.5,-6.5
Bangladesh,Asia Pacific,Satellite - upstream,Upstream,Gas,Daily LDAR,0.48,-6.5
Romania,Europe,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.05,-6.49
China,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,113.79,-6.48
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,63.56,-6.48
Brazil,Central and South America,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.74,-6.47
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.5,-6.47
Poland,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.16,-6.44
Poland,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,1.11,-6.44
Poland,Europe,Unconventional gas,Upstream,Gas,Continuous LDAR,0.34,-6.44
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Blowdown capture,12.69,-6.43
India,Asia Pacific,Unconventional gas,Upstream,Gas,Blowdown capture,6.34,-6.43
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.44,-6.41
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.49,-6.41
Germany,Europe,Unconventional gas,Upstream,Gas,Annual LDAR,0.01,-6.4
Germany,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.04,-6.4
Germany,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-6.4
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.65,-6.4
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.09,-6.4
Brazil,Central and South America,Offshore gas,Upstream,Gas,Replace with instrument air systems,3.01,-6.39
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,0.01,-6.39
France,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-6.37
China,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.02,-6.33
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.01,-6.33
Brazil,Central and South America,Offshore oil,Upstream,Oil,Replace with instrument air systems,44.9,-6.32
Brazil,Central and South America,Offshore oil,Upstream,Oil,Continuous LDAR,59.56,-6.31
Brazil,Central and South America,Offshore gas,Upstream,Gas,Continuous LDAR,6.98,-6.31
Italy,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.04,-6.28
Italy,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.04,-6.28
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.69,-6.27
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.09,-6.27
Other EU17 countries,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.45,-6.27
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Replace with instrument air systems,0.01,-6.27
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.07,-6.26
Poland,Europe,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.31,-6.26
Poland,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,1.04,-6.26
Poland,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.15,-6.26
Australia,Asia Pacific,Satellite - upstream,Upstream,Gas,Daily LDAR,0.8,-6.26
United Kingdom,Europe,Unconventional gas,Upstream,Gas,Replace pumps,0.01,-6.25
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.05,-6.24
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.07,-6.24
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.01,-6.24
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.02,-6.24
Other EU17 countries,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.1,-6.24
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.03,-6.24
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.01,-6.24
Brazil,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,3.31,-6.23
Brazil,Central and South America,Offshore gas,Upstream,Gas,Annual LDAR,0.39,-6.23
Ukraine,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,45.52,-6.23
South Africa,Africa,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.01,-6.22
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.84,-6.22
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.14,-6.2
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.27,-6.2
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.62,-6.2
Poland,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,2.27,-6.2
Poland,Europe,Unconventional gas,Upstream,Gas,Blowdown capture,0.56,-6.2
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.33,-6.2
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.88,-6.2
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.2,-6.2
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.08,-6.2
Italy,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.09,-6.2
Italy,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.02,-6.2
India,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,25.16,-6.19
India,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,25.63,-6.19
China,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,5.49,-6.19
China,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,19.83,-6.19
Romania,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.77,-6.19
Ukraine,Europe,Offshore gas,Upstream,Gas,Biannual LDAR,0.18,-6.18
Other EU17 countries,Europe,Unconventional gas,Upstream,Gas,Biannual LDAR,0.05,-6.18
Other EU17 countries,Europe,Unconventional gas,Upstream,Gas,Blowdown capture,0.38,-6.18
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.32,-6.18
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,3.07,-6.18
Other EU17 countries,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.28,-6.18
South Africa,Africa,Offshore oil,Upstream,Oil,Biannual LDAR,0.01,-6.17
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.26,-6.16
Italy,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.15,-6.16
Germany,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,1.48,-6.14
Germany,Europe,Unconventional gas,Upstream,Gas,Blowdown capture,0.28,-6.14
France,Europe,Unconventional gas,Upstream,Gas,Blowdown capture,0.03,-6.14
Brazil,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,4.16,-6.14
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,2.79,-6.14
Romania,Europe,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.01,-6.14
Other EU7 countries,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.97,-6.13
Brazil,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.07,-6.13
Norway,Europe,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.29,-6.12
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.1,-6.11
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.05,-6.11
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.02,-6.11
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Replace pumps,0.32,-6.11
Thailand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.15,-6.11
Thailand,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.22,-6.11
Brunei,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.03,-6.11
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.01,-6.11
Israel,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.45,-6.11
Estonia,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.23,-6.1
Romania,Europe,Onshore conventional gas,Upstream,Gas,Biannual LDAR,1.45,-6.1
Romania,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,17.79,-6.1
Romania,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.53,-6.1
South Africa,Africa,Downstream oil,Downstream,Oil,Continuous LDAR,0.39,-6.08
South Africa,Africa,Downstream gas,Downstream,Gas,Continuous LDAR,0.54,-6.08
Ukraine,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,14.27,-6.08
Ukraine,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.49,-6.08
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Annual LDAR,0.08,-6.08
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,1.34,-6.08
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.32,-6.08
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.71,-6.08
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,1.06,-6.08
Bangladesh,Asia Pacific,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-6.08
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.8,-6.08
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace pumps,0.22,-6.05
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,15.67,-6.04
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.86,-6.04
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,2.98,-6.04
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,8.11,-6.04
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.44,-6.04
Viet Nam,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,1.09,-6.04
United Kingdom,Europe,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.01,-6.03
Other EU7 countries,Europe,Offshore gas,Upstream,Gas,Continuous LDAR,0.19,-6.03
Estonia,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.21,-6.03
India,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.08,-6.02
Israel,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.01,-6.02
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.24,-6.02
Other countries in Southeast Asia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.04,-6.01
Other countries in Europe,Europe,Onshore conventional gas,Upstream,Gas,Blowdown capture,0.01,-5.99
Germany,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.14,-5.99
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.86,-5.97
South Africa,Africa,Downstream oil,Downstream,Oil,Biannual LDAR,0.26,-5.97
South Africa,Africa,Downstream gas,Downstream,Gas,Biannual LDAR,0.36,-5.97
Ukraine,Europe,Downstream gas,Downstream,Gas,Biannual LDAR,9.51,-5.97
Ukraine,Europe,Downstream oil,Downstream,Oil,Biannual LDAR,0.33,-5.97
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,12.08,-5.95
Romania,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.4,-5.94
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,0.32,-5.93
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,1.03,-5.93
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,18.82,-5.93
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,9.63,-5.93
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,16.02,-5.93
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,6.91,-5.93
Other countries in Southeast Asia,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,0.05,-5.93
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,1.99,-5.93
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,1.15,-5.93
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,36.34,-5.93
Viet Nam,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,5.45,-5.93
Viet Nam,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,2.53,-5.93
Ukraine,Europe,Downstream oil,Downstream,Oil,Annual LDAR,0.11,-5.91
Ukraine,Europe,Downstream gas,Downstream,Gas,Annual LDAR,3.17,-5.91
South Africa,Africa,Downstream gas,Downstream,Gas,Annual LDAR,0.12,-5.91
South Africa,Africa,Downstream oil,Downstream,Oil,Annual LDAR,0.09,-5.91
Netherlands,Europe,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.02,-5.9
Netherlands,Europe,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.15,-5.9
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,0.89,-5.88
Philippines,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,0.06,-5.88
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,0.38,-5.88
Philippines,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,0.02,-5.88
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,0.53,-5.88
Thailand,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,7.26,-5.88
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,1.05,-5.88
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,2.02,-5.88
Brunei,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,0.06,-5.88
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,0.11,-5.88
Viet Nam,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,0.14,-5.88
Viet Nam,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,0.3,-5.88
Viet Nam,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,4.11,-5.86
Bangladesh,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,2.39,-5.86
Bangladesh,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.04,-5.86
Indonesia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,3.18,-5.86
Indonesia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,2.13,-5.86
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.96,-5.86
Pakistan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.09,-5.86
Pakistan,Asia Pacific,Satellite - downstream,Downstream,Oil,Daily LDAR,10.16,-5.86
Pakistan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,4.03,-5.86
Pakistan,Asia Pacific,Unconventional gas,Upstream,Gas,Biannual LDAR,0.23,-5.86
Germany,Europe,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.03,-5.85
